determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y@1,split,count,fidelity_score@1,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20,gen_cost,cost,gen_dataset_time,dataset_time,align_time,automata_learning_time
True,BERT4Rec,ml-100k,2048,30,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",100,0.51,0.43,0.35,0.3,1.0,0.75,0.57,0.46,1.0,0.58,62.135079999999995,,6.762670000000002,
True,BERT4Rec,ml-100k,2048,30,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",35,0.4,0.2571428571428571,0.14285714285714285,0.11428571428571428,1.0,0.6,0.3142857142857143,0.2,1.0,0.9714285714285714,62.98759999999999,,9.796457142857141,
True,BERT4Rec,ml-100k,4096,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{0},"(None, 5, 0)",100,0.57,0.24,0.16,0.11,1.0,0.37,0.22,0.13,1.0,0.78,42.09391000000001,,15.867169999999998,
True,BERT4Rec,ml-100k,4096,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{1},"(None, 5, 0)",100,0.32,0.08,0.04,0.03,1.0,0.22,0.11,0.03,1.04,1.03,41.89263000000001,,17.1328,
True,BERT4Rec,ml-100k,4096,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{2},"(None, 5, 0)",98,0.336734693877551,0.09183673469387756,0.061224489795918366,0.02040816326530612,0.9795918367346939,0.2653061224489796,0.15306122448979592,0.061224489795918366,1.3229166666666667,1.3645833333333333,43.41035416666667,,14.355041666666665,
True,BERT4Rec,ml-100k,4096,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{3},"(None, 5, 0)",31,0.7096774193548387,0.1935483870967742,0.03225806451612903,0.03225806451612903,1.0,0.3225806451612903,0.06451612903225806,0.06451612903225806,1.0,0.7096774193548387,44.96893548387097,,16.580709677419353,
True,BERT4Rec,ml-100k,4096,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{0},"(None, 10, 0)",57,0.5087719298245614,0.22807017543859648,0.15789473684210525,0.14035087719298245,1.0,0.3508771929824561,0.19298245614035087,0.14035087719298245,1.0,0.631578947368421,80.77208771929824,,19.398999999999997,
True,BERT4Rec,ml-100k,4096,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{0},"(None, 5, 0)",1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,114.438,,25.51,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,NaN,"(None, 10, 0)",400,0.735,0.79,0.8175,0.8425,1.0,0.7775,0.7925,0.8625,1.0,0.8525,206.32038999999997,,76.56810250000001,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,NaN,"(None, 10, 0)",400,0.5125,0.455,0.44,0.44,1.0,0.8925,0.905,0.9375,1.0,0.9525,196.18398000000002,,102.83008249999999,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",536,0.4533582089552239,0.47201492537313433,0.4141791044776119,0.375,1.0,0.7649253731343284,0.6361940298507462,0.542910447761194,1.0,0.6847014925373134,132.40540858208956,,73.35599813432836,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 5, 0)",200,0.63,0.55,0.48,0.39,1.0,0.75,0.625,0.5,1.0,0.86,84.60245499999999,,38.64919,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{10},"(None, 10, 0)",943,0.176033934252386,0.08059384941675504,0.051961823966065745,0.036055143160127257,0.9925768822905621,0.3584305408271474,0.19088016967126192,0.13891834570519618,1.0769230769230769,0.9433760683760684,119.55787606837606,,47.780861111111115,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",400,0.2875,0.2125,0.1375,0.0975,1.0,0.62,0.345,0.1975,1.0275,0.8225,88.21540999999999,,44.57824000000001,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",400,0.15,0.105,0.08,0.04,0.9625,0.4375,0.255,0.17,1.1272727272727272,0.9688311688311688,89.24401298701297,,31.904285714285713,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{7},"(None, 10, 0)",400,0.6225,0.49,0.4225,0.3425,1.0,0.6725,0.525,0.4275,1.0,0.565,87.51597249999999,,45.214365,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{8},"(None, 10, 0)",400,0.1275,0.02,0.0,0.0,0.88,0.24,0.01,0.0,1.3721590909090908,0.9744318181818182,89.3908721590909,,22.41234659090909,
True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{0},"(None, 10, 0)",100,0.58,0.19,0.15,0.11,1.0,0.33,0.25,0.17,1.0,0.87,91.57588000000001,,59.733760000000004,
