determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,split,gen_target_y@1,fidelity_score@1,count,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{12},0.24,100,0.07,0.02,0.0,1.0,0.31,0.04,0.0
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{13},0.38,100,0.36,0.19,0.11,1.0,0.58,0.32,0.19
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{14},0.3,100,0.21,0.13,0.06,1.0,0.51,0.29,0.13
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{15},0.41,100,0.32,0.2,0.15,1.0,0.5,0.34,0.22
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{16},0.3,100,0.16,0.04,0.02,0.96,0.3,0.12,0.02
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{17},0.17,100,0.03,0.0,0.0,0.64,0.09,0.02,0.0
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{1},0.29,100,0.17,0.13,0.1,0.98,0.49,0.31,0.21
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{2},0.14,100,0.11,0.05,0.01,0.83,0.34,0.23,0.14
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{3},0.55,100,0.41,0.35,0.25,1.0,0.56,0.44,0.37
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,"(None, 10, 0)",{5},0.22,100,0.12,0.03,0.0,1.0,0.4,0.18,0.0
